COUNT,POPULATION,SEX,SITE,YEAR
44,39865121,Female,Anaplastic astrocytoma,2004
25,39998876,Female,Anaplastic astrocytoma,2005
31,40165421,Female,Anaplastic astrocytoma,2006
31,40382360,Female,Anaplastic astrocytoma,2007
32,40576293,Female,Anaplastic astrocytoma,2008
30,40670476,Female,Anaplastic astrocytoma,2009
40,40632802,Female,Anaplastic astrocytoma,2010
39,40459979,Female,Anaplastic astrocytoma,2011
24,40305950,Female,Anaplastic astrocytoma,2012
50,40209737,Female,Anaplastic astrocytoma,2013
40,40151698,Female,Anaplastic astrocytoma,2014
34,40146685,Female,Anaplastic astrocytoma,2015
29,40165280,Female,Anaplastic astrocytoma,2016
25,40141655,Female,Anaplastic astrocytoma,2017
93,39865121,Female,"Astrocytoma, NOS",2004
92,39998876,Female,"Astrocytoma, NOS",2005
89,40165421,Female,"Astrocytoma, NOS",2006
85,40382360,Female,"Astrocytoma, NOS",2007
85,40576293,Female,"Astrocytoma, NOS",2008
96,40670476,Female,"Astrocytoma, NOS",2009
93,40632802,Female,"Astrocytoma, NOS",2010
81,40459979,Female,"Astrocytoma, NOS",2011
84,40305950,Female,"Astrocytoma, NOS",2012
99,40209737,Female,"Astrocytoma, NOS",2013
101,40151698,Female,"Astrocytoma, NOS",2014
74,40146685,Female,"Astrocytoma, NOS",2015
79,40165280,Female,"Astrocytoma, NOS",2016
72,40141655,Female,"Astrocytoma, NOS",2017
29,39865121,Female,Choroid plexus,2004
21,39998876,Female,Choroid plexus,2005
28,40165421,Female,Choroid plexus,2006
30,40382360,Female,Choroid plexus,2007
42,40576293,Female,Choroid plexus,2008
22,40670476,Female,Choroid plexus,2009
29,40632802,Female,Choroid plexus,2010
27,40459979,Female,Choroid plexus,2011
24,40305950,Female,Choroid plexus,2012
29,40209737,Female,Choroid plexus,2013
20,40151698,Female,Choroid plexus,2014
31,40146685,Female,Choroid plexus,2015
23,40165280,Female,Choroid plexus,2016
33,40141655,Female,Choroid plexus,2017
83,39865121,Female,Craniopharyngioma,2004
78,39998876,Female,Craniopharyngioma,2005
77,40165421,Female,Craniopharyngioma,2006
96,40382360,Female,Craniopharyngioma,2007
64,40576293,Female,Craniopharyngioma,2008
91,40670476,Female,Craniopharyngioma,2009
92,40632802,Female,Craniopharyngioma,2010
86,40459979,Female,Craniopharyngioma,2011
78,40305950,Female,Craniopharyngioma,2012
89,40209737,Female,Craniopharyngioma,2013
91,40151698,Female,Craniopharyngioma,2014
81,40146685,Female,Craniopharyngioma,2015
67,40165280,Female,Craniopharyngioma,2016
78,40141655,Female,Craniopharyngioma,2017
20,39865121,Female,Diffuse astrocytoma,2004
20,39998876,Female,Diffuse astrocytoma,2005
17,40382360,Female,Diffuse astrocytoma,2007
21,40576293,Female,Diffuse astrocytoma,2008
18,40670476,Female,Diffuse astrocytoma,2009
19,40632802,Female,Diffuse astrocytoma,2010
215,39865121,Female,Embryonal/primitive/medulloblastoma,2004
186,39998876,Female,Embryonal/primitive/medulloblastoma,2005
203,40165421,Female,Embryonal/primitive/medulloblastoma,2006
220,40382360,Female,Embryonal/primitive/medulloblastoma,2007
229,40576293,Female,Embryonal/primitive/medulloblastoma,2008
205,40670476,Female,Embryonal/primitive/medulloblastoma,2009
175,40632802,Female,Embryonal/primitive/medulloblastoma,2010
196,40459979,Female,Embryonal/primitive/medulloblastoma,2011
180,40305950,Female,Embryonal/primitive/medulloblastoma,2012
186,40209737,Female,Embryonal/primitive/medulloblastoma,2013
211,40151698,Female,Embryonal/primitive/medulloblastoma,2014
191,40146685,Female,Embryonal/primitive/medulloblastoma,2015
179,40165280,Female,Embryonal/primitive/medulloblastoma,2016
166,40141655,Female,Embryonal/primitive/medulloblastoma,2017
21,40459979,Female,Ependymoma variants,2011
16,40305950,Female,Ependymoma variants,2012
17,40209737,Female,Ependymoma variants,2013
97,39865121,Female,Ependymoma/anaplastic ependymoma,2004
111,39998876,Female,Ependymoma/anaplastic ependymoma,2005
99,40165421,Female,Ependymoma/anaplastic ependymoma,2006
71,40382360,Female,Ependymoma/anaplastic ependymoma,2007
75,40576293,Female,Ependymoma/anaplastic ependymoma,2008
81,40670476,Female,Ependymoma/anaplastic ependymoma,2009
93,40632802,Female,Ependymoma/anaplastic ependymoma,2010
99,40459979,Female,Ependymoma/anaplastic ependymoma,2011
88,40305950,Female,Ependymoma/anaplastic ependymoma,2012
90,40209737,Female,Ependymoma/anaplastic ependymoma,2013
87,40151698,Female,Ependymoma/anaplastic ependymoma,2014
91,40146685,Female,Ependymoma/anaplastic ependymoma,2015
78,40165280,Female,Ependymoma/anaplastic ependymoma,2016
96,40141655,Female,Ependymoma/anaplastic ependymoma,2017
42,39865121,Female,Germ Cell Tumors,2004
47,39998876,Female,Germ Cell Tumors,2005
17,40165421,Female,Germ Cell Tumors,2006
24,40165421,Female,Germ Cell Tumors,2006
33,40382360,Female,Germ Cell Tumors,2007
17,40576293,Female,Germ Cell Tumors,2008
30,40576293,Female,Germ Cell Tumors,2008
19,40670476,Female,Germ Cell Tumors,2009
43,40670476,Female,Germ Cell Tumors,2009
21,40632802,Female,Germ Cell Tumors,2010
52,40632802,Female,Germ Cell Tumors,2010
22,40459979,Female,Germ Cell Tumors,2011
37,40459979,Female,Germ Cell Tumors,2011
16,40305950,Female,Germ Cell Tumors,2012
21,40305950,Female,Germ Cell Tumors,2012
19,40209737,Female,Germ Cell Tumors,2013
47,40209737,Female,Germ Cell Tumors,2013
23,40151698,Female,Germ Cell Tumors,2014
34,40151698,Female,Germ Cell Tumors,2014
18,40146685,Female,Germ Cell Tumors,2015
46,40146685,Female,Germ Cell Tumors,2015
24,40165280,Female,Germ Cell Tumors,2016
58,40165280,Female,Germ Cell Tumors,2016
43,40141655,Female,Germ Cell Tumors,2017
52,39865121,Female,Glioblastoma,2004
39,39998876,Female,Glioblastoma,2005
44,40165421,Female,Glioblastoma,2006
59,40382360,Female,Glioblastoma,2007
62,40576293,Female,Glioblastoma,2008
39,40670476,Female,Glioblastoma,2009
51,40632802,Female,Glioblastoma,2010
75,40459979,Female,Glioblastoma,2011
75,40305950,Female,Glioblastoma,2012
71,40209737,Female,Glioblastoma,2013
67,40151698,Female,Glioblastoma,2014
68,40146685,Female,Glioblastoma,2015
54,40165280,Female,Glioblastoma,2016
64,40141655,Female,Glioblastoma,2017
233,39865121,Female,"Glioma malignant, NOS",2004
237,39998876,Female,"Glioma malignant, NOS",2005
245,40165421,Female,"Glioma malignant, NOS",2006
